Common_name,Ecoinvent_name,Ecoinvent_code,type_of_flow
"carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m","carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m",2ae77f6136934af7a7c479b689addf98,technosphere
"steel production, converter, unalloyed","steel production, converter, unalloyed",e15310fe0a1744c7984a3c47419cc1fa,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",84c66c9ac6d887e01182888027ba3f01,technosphere
market for anionic resin,market for anionic resin,5546735367435636699501ffe38eb797,technosphere
"steel production, converter, low-alloyed","steel production, converter, low-alloyed",5b9f36e91b594e08b57412bf75a33705,technosphere
"market for diesel, burned in diesel-electric generating set, 10MW","market for diesel, burned in diesel-electric generating set, 10MW",40ec253084ff471ebba7269ebb3d60d5,technosphere
"lime production, milled, loose","lime production, milled, loose",f4edb58369095a7c268cc286730d7943,technosphere
"steel production, converter, low-alloyed","steel production, converter, low-alloyed",c49b0b8c7ddc4bcab2c32afeeb370428,technosphere
market for cast iron,market for cast iron,6a7811cf5d456c6d0906edc3c404b586,technosphere
primary zinc production from concentrate,primary zinc production from concentrate,7168f8d0a31257c06232f6c4574df0f7,technosphere
"treatment of waste mineral oil, hazardous waste incineration","treatment of waste mineral oil, hazardous waste incineration",afa9c9d55b204551e3e338eb5b420be4,technosphere
"treatment of waste emulsion paint, municipal incineration","treatment of waste emulsion paint, municipal incineration",369f81831ab10057f6a2407862bdfda2,technosphere
market for municipal solid waste,market for municipal solid waste,19c62e3ac39bdfe5052165510ab58c82,technosphere
market for pitch,market for pitch,769bd8ca7b839684e88a831307db04b1,technosphere
"market for cement, Portland","market for cement, Portland",a2d5b8d6135b4c4ab8c6864f537c7676,technosphere
"carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m","carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m",bd217dd3efca47018be7f1f3d18d34cf,technosphere
"market for diesel, burned in diesel-electric generating set, 10MW","market for diesel, burned in diesel-electric generating set, 10MW",f9bf8315d59c4de3bb78105f620d648d,technosphere
"market for cement, Portland","market for cement, Portland",95ddabd9e5084760bdf1afb011dba443,technosphere
market for residue from cooling tower,market for residue from cooling tower,881c71bd1da12fe707a80c51582c0759,technosphere
market for heavy fuel oil,market for heavy fuel oil,8cbcd2216bc9c40d215923da597c9ce4,technosphere
"carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m","carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m",a3b65cc6dee74b26b267f7bd9e2813d5,technosphere
market for light fuel oil,market for light fuel oil,6afea6c9ab4abbd585dd47bef99e70b0,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",80dec5187d91d15a9d852caf4919a3d1,technosphere
"treatment of inert waste, sanitary landfill","treatment of inert waste, sanitary landfill",f266876a49bbb90eb91ed2bd7b9d20dd,technosphere
"treatment of waste textile, soiled, municipal incineration","treatment of waste textile, soiled, municipal incineration",68ff874fd53ae0c5eb5bf62bfe743e4f,technosphere
"polyethylene production, low density, granulate","polyethylene production, low density, granulate",27332d79c7cd154d4bf36b75af23f31a,technosphere
"market for diesel, burned in diesel-electric generating set, 10MW","market for diesel, burned in diesel-electric generating set, 10MW",e62b0925170e41679144a6e5027ddd44,technosphere
"treatment of lignite ash, opencast refill","treatment of lignite ash, opencast refill",1bf968bcdb99344be848fb70c4cce505,technosphere
"market for wastewater, from residence","market for wastewater, from residence",9704869cbeb8a079a475df4261b8e0bb,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",65353b7910dc61d80299e947545f2332,technosphere
"carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m","carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m",fbb147a324fa4444b1b4e82dca3107de,technosphere
"market for natural gas, high pressure","market for natural gas, high pressure",afecf31ffcb41c71b83af79b88ff22ce,technosphere
market for reinforcing steel,market for reinforcing steel,20f7b0fa3b90280b9052a864c205573a,technosphere
"market for biomass, used as fuel","market for biomass, used as fuel",0646009e8c814b3585ad9ba48b7a4620,technosphere
"market for diesel, burned in diesel-electric generating set, 10MW","market for diesel, burned in diesel-electric generating set, 10MW",9a4c5386eb9b4c0b980545f441a6f1d0,technosphere
"carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m","carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m",6b7f3d019da5441b954f72de04707287,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",732c78e189566f1dfc56ea65bafe6dca,technosphere
market for hard coal,market for hard coal,8280e00bb259c99896bc6479bef74262,technosphere
market for municipal solid waste,market for municipal solid waste,1fbe867cd518ee265f476fe089595cdc,technosphere
"market for natural gas, high pressure","market for natural gas, high pressure",aafc88d9215e9cfb3efc7c6fe1c88184,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",e4dc3a2ec194f56b5e3dc42370ba9906,technosphere
"carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m","carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m",0d8c4fb09bd84fc4983198c62d53ee9c,technosphere
"market for cement, Portland","market for cement, Portland",5c49c5db57474525b4e1ba5a3bc10da6,technosphere
"steel production, converter, low-alloyed","steel production, converter, low-alloyed",dc3aec1d0d39497cbbd242758d9d3642,technosphere
market for light fuel oil,market for light fuel oil,0d61ed8c7131890ab19161dcc1b608d1,technosphere
"carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m","carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m",8083be2e73724b09a01b9d5ce8e250e2,technosphere
"transport, freight, lorry, unspecified, long haul","transport, freight, lorry, unspecified, long haul",67cc18db22fc4db889689438425fcb4d,technosphere
market for tap water,market for tap water,2013d138a24d74184bae2541f62cd546,technosphere
"treatment of residue from cooling tower, sanitary landfill","treatment of residue from cooling tower, sanitary landfill",05679a39a8ac3421c2e798a497141edf,technosphere
"market for biomass, used as fuel","market for biomass, used as fuel",9c91b570aa894b208657898faf5654bf,technosphere
"market for natural gas, high pressure","market for natural gas, high pressure",27067feb7c56cd94183fffd9065929ac,technosphere
market for stone wool,market for stone wool,f3d1b2c4092ac63989bf35ca9ad0882f,technosphere
"carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m","carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m",37cf5116dad94077988e06ed4c135d61,technosphere
"market for nitrogen, liquid","market for nitrogen, liquid",0d611bbaac37d39616c2e7923d122a11,technosphere
"market for water, decarbonised","market for water, decarbonised",537e9871749f1cfb7236ce9133061dc0,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",80451abc1f7e12cd03fd9c775c744f9a,technosphere
"market for biomass, used as fuel","market for biomass, used as fuel",fd2a831d7ca94fc280bae70c2556a4a7,technosphere
"carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m","carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m",31dff131f5ae4733864f64419d2ac1a7,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",cbc5800e1a93f9a7a1ca79069493cd4c,technosphere
market for low level radioactive waste for final repository,market for low level radioactive waste for final repository,2558088b18f9cf8789cad106dbddf16c,technosphere
"treatment of aluminium scrap, post-consumer, prepared for recycling, at refiner","treatment of aluminium scrap, post-consumer, prepared for recycling, at refiner",028450378bffa1dd6bf6f30e057365a6,technosphere
market for municipal solid waste,market for municipal solid waste,e1be837bac2a23d91dec4f163e2f8af3,technosphere
"steel production, electric, chromium steel 18/8","steel production, electric, chromium steel 18/8",e084be9f86614f409d282339b0f0954e,technosphere
"market for cement, Portland","market for cement, Portland",4917b53a96e746cfa2e6fa48a720eedc,technosphere
"transport, freight, lorry, unspecified, long haul","transport, freight, lorry, unspecified, long haul",c0049f6bff24444c92b67e5553df14b9,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",26c41dea8f344f87174845e1305c8e2d,technosphere
"treatment of lignite ash, opencast refill","treatment of lignite ash, opencast refill",4637ce61e7613cef44454f25ac3a0886,technosphere
"treatment of wastewater, average, capacity 1.1E10l/year","treatment of wastewater, average, capacity 1.1E10l/year",74386f98b641e058fe02285e6c839b09,technosphere
"steel production, converter, unalloyed","steel production, converter, unalloyed",277d9153be6f4b20b6274606f1628686,technosphere
"treatment of spent solvent mixture, hazardous waste incineration","treatment of spent solvent mixture, hazardous waste incineration",4b8940389eff0c5c64c3ac3a0198c019,technosphere
market for municipal solid waste,market for municipal solid waste,c93f4c2315f15c8cba7085c9bc1a03cc,technosphere
primary zinc production from concentrate,primary zinc production from concentrate,d77efc2f8f01333471f4ca91f1e7fbf7,technosphere
"market for diesel, burned in diesel-electric generating set, 10MW","market for diesel, burned in diesel-electric generating set, 10MW",ece12e150bf143be8bd1f74beca2d1e1,technosphere
"steel production, electric, chromium steel 18/8","steel production, electric, chromium steel 18/8",139d2c0e9a534e82a316934fb171a819,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",e5d918ec453068dc853baa607f34dcbb,technosphere
"market for flat glass, coated","market for flat glass, coated",206535f59d73199e4f636d361cc8f952,technosphere
market for municipal solid waste,market for municipal solid waste,b2c65b9ab69a96e291f8a5a6c0c793a0,technosphere
"transport, freight, lorry, unspecified, long haul","transport, freight, lorry, unspecified, long haul",2d90302574734d42ab43cc24880bdb8d,technosphere
"transport, freight, lorry, unspecified, long haul","transport, freight, lorry, unspecified, long haul",288d8ce7da95441c95746a0baf615618,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",8a2ce3ab98efd3eb434557d4da052bdd,technosphere
"market for steel, low-alloyed","market for steel, low-alloyed",02428a55ddcb46ef999833a522ead4b6,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",a85fbebd31f7fccbf327d3c69f19b686,technosphere
"market for natural gas, high pressure","market for natural gas, high pressure",d877d031fc2e94ae6f9d59a2088c8b81,technosphere
"market for ammonia, anhydrous, liquid","market for ammonia, anhydrous, liquid",260f34088339f607852c92131c84c5a8,technosphere
"market for hydropower plant, run-of-river","market for hydropower plant, run-of-river",3534dd304ffa611dc6d0147617abaa0d,technosphere
market for heavy fuel oil,market for heavy fuel oil,50699fac15066b9f4d34b29068761d9c,technosphere
"steel production, electric, chromium steel 18/8","steel production, electric, chromium steel 18/8",c162fdb341704fd4b71ae2c415f81fe0,technosphere
"market for diesel, burned in diesel-electric generating set, 10MW","market for diesel, burned in diesel-electric generating set, 10MW",e40344fbc8fc4dd994a648eba4f35080,technosphere
"market for water, decarbonised","market for water, decarbonised",0cbd3c89d3e8bb1ef00ec5ee4be1d4ff,technosphere
"carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m","carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m",e5d2721df8d24d4a899f30f4c15787aa,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",482d2f3b046f3bb6ec13aaedb91e8c83,technosphere
market for waste mineral oil,market for waste mineral oil,2596232e969a929c42ac37ffdb779837,technosphere
"carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m","carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m",ef2255245f2d483e9fd9033ad050fefb,technosphere
"market for biomass, used as fuel","market for biomass, used as fuel",abad8ce5683e47b9af13a7970eb4c3b5,technosphere
"market for biomass, used as fuel","market for biomass, used as fuel",df624c6589ff45d08803cf2a852d26bf,technosphere
"market for hazardous waste, for incineration","market for hazardous waste, for incineration",176481d6f39c90b8b7f9a3ed5e367bb1,technosphere
market for pitch,market for pitch,17286c0408b74009d1374e83857750df,technosphere
market for sulfuric acid,market for sulfuric acid,a39fae0ac7b85f6d8f42258b0bc6f62f,technosphere
"market for water, decarbonised","market for water, decarbonised",46dbac746b39d63453e670233bcedf6e,technosphere
"treatment of average incineration residue, residual material landfill","treatment of average incineration residue, residual material landfill",15a42c72818a7aba1250b14e1baba146,technosphere
"treatment of lignite ash, opencast refill","treatment of lignite ash, opencast refill",1ccaf516cc53fe33d375228de22e7ea0,technosphere
"market for diesel, burned in diesel-electric generating set, 10MW","market for diesel, burned in diesel-electric generating set, 10MW",d9dc61999a664b6eb4c46ca37e516e88,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",ed8aa5db2922dfa8369ae45845f3d8a3,technosphere
"market for heat and power co-generation unit, 160kW electrical, common components for heat+electricity","market for heat and power co-generation unit, 160kW electrical, common components for heat+electricity",3fa997f639e0681b7b936809d3480422,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",d6e5d9224c05071f6d5237b97515d451,technosphere
market for municipal solid waste,market for municipal solid waste,310bd997e7f3afcb91119b8cc439118d,technosphere
"market for cement, Portland","market for cement, Portland",a8c6d6e6437a48638aa6fd24f815b325,technosphere
"market for natural gas, high pressure","market for natural gas, high pressure",f0d0e34606818aeec873ce28fc94004c,technosphere
"carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m","carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m",0128d7c0146c4afab2e60b2d404a4480,technosphere
"polystyrene production, high impact","polystyrene production, high impact",dffb43f95e63db60ab9fd650a486b220,technosphere
market for heavy fuel oil,market for heavy fuel oil,97a1d6c172b16fbd2dfbb9874b2ec7f8,technosphere
"steel production, electric, chromium steel 18/8","steel production, electric, chromium steel 18/8",6fb664c585a2449397e249a4a0b56266,technosphere
"treatment of hard coal ash, residual material landfill","treatment of hard coal ash, residual material landfill",21894b49d119ca5d92d0b80691b112f4,technosphere
"market for cement, Portland","market for cement, Portland",1a204671d5644df9a387395856cbb7a0,technosphere
"steel production, chromium steel 18/8, hot rolled","steel production, chromium steel 18/8, hot rolled",11ad314fa1bf43fa823c3cd69c2c4f1b,technosphere
market for municipal solid waste,market for municipal solid waste,34d811f521b59e21cab91c9939c66bbc,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",430a8083c6544fa04627751f7fa8bdac,technosphere
market for benzene,market for benzene,00f6517dda64b8808583a17c0a89f29c,technosphere
market for municipal solid waste,market for municipal solid waste,93920e9f593c163b23d8b383e130028c,technosphere
Electricity production_Nondispatchable_hydro_ReEDS,Electricity production_Nondispatchable_hydro_ReEDS,8cb640f6-91af-4529-ab99-6d81bc143848,technosphere
"steel production, electric, chromium steel 18/8","steel production, electric, chromium steel 18/8",d6bc39338e9a413f8dd75b83df320249,technosphere
"market for water, deionised","market for water, deionised",9fb8c97610ecfc82de476e21b5d07d99,technosphere
market for waste mineral oil,market for waste mineral oil,5d3258538ce284631e62bf9f61726081,technosphere
primary zinc production from concentrate,primary zinc production from concentrate,33009fd320e80a789c0cf33409b64707,technosphere
"carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m","carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m",8738688448fc4676b829300b8dee8d6a,technosphere
"market for copper, anode","market for copper, anode",0bd6b72dde460c10392407c682393c71,technosphere
"transport, freight, lorry, unspecified, long haul","transport, freight, lorry, unspecified, long haul",abaf1b51c11f47b2a7bd75e0948ad7bb,technosphere
"market for photovoltaic plant, 570kWp, multi-Si, on open ground","market for photovoltaic plant, 570kWp, multi-Si, on open ground",55cad7ceed2789b14718117bc79555d2,technosphere
"steel production, converter, unalloyed","steel production, converter, unalloyed",e2c6d73ebe0241efa87f58af1065b7cb,technosphere
"transport, freight, lorry, unspecified, long haul","transport, freight, lorry, unspecified, long haul",1e65da868b2243ceab4f324f59625373,technosphere
Electricity production_Dispatchable_hydro_ReEDS,Electricity production_Dispatchable_hydro_ReEDS,bf09678b-9da7-4cd2-b3a0-de4a2cdb5bc1,technosphere
"carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m","carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m",02b2782f08f64d22a55815131f77f3d0,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",c4e71724f1b431b72baa968d61257334,technosphere
"market for diesel, burned in diesel-electric generating set, 10MW","market for diesel, burned in diesel-electric generating set, 10MW",1f3baef3b5064810a039fc31b2db516a,technosphere
"market group for natural gas, high pressure","market group for natural gas, high pressure",b66366f87955a1842ff8b805ac706519,technosphere
"treatment of wood ash mixture, pure, municipal incineration","treatment of wood ash mixture, pure, municipal incineration",128ebaefe1368637e92c0515f3c6518e,technosphere
"market for steel, low-alloyed","market for steel, low-alloyed",c56049c3f7d1438c8aedd229d76bbb44,technosphere
Electricity production_Gas_combined_cycle_ReEDS,Electricity production_Gas_combined_cycle_ReEDS,4d8fdcde-1ff1-41c6-9b2b-f6107be524ff,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",3fc38c085a14aaa86d8491ce16f28773,technosphere
primary zinc production from concentrate,primary zinc production from concentrate,78731133aa07cd69d23e3198ccda0fcf,technosphere
"market for diesel, burned in diesel-electric generating set, 10MW","market for diesel, burned in diesel-electric generating set, 10MW",68e123398b2243bf8caef56759a9fe6f,technosphere
"market for steel, low-alloyed, hot rolled","market for steel, low-alloyed, hot rolled",9b20aabdab5590c519bb3d717c77acf2,technosphere
market for municipal solid waste,market for municipal solid waste,8f0bce5d820d83de7b666b623fb3472a,technosphere
"treatment of lignite ash, opencast refill","treatment of lignite ash, opencast refill",52012dd769a9d69b415d545240dfbded,technosphere
"market for limestone, crushed, washed","market for limestone, crushed, washed",70da1b8c3b751753818f31bb4869f16e,technosphere
"treatment of wood ash mixture, pure, landfarming","treatment of wood ash mixture, pure, landfarming",a018667f81b0e5987b48d05ffc0c7bd8,technosphere
market for municipal solid waste,market for municipal solid waste,c9a1a9f6b350807f58dc3f511179cdf3,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",6fe416be7f4ac60bd191687fa97b64e0,technosphere
"carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m","carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m",1d98eb130d1c4a608c9cf0c2e099700a,technosphere
"treatment of hard coal ash, residual material landfill","treatment of hard coal ash, residual material landfill",0c5edc8f0447aecb90983e8fc82226c6,technosphere
"steel production, converter, low-alloyed","steel production, converter, low-alloyed",c4a9d78b7c4b474db6f68f610d68d803,technosphere
"market for limestone, crushed, washed","market for limestone, crushed, washed",bcd5dd97b63e6534fad7c7a1a267c1ba,technosphere
"market for steel, low-alloyed","market for steel, low-alloyed",07f504f47d3042a48a2bb75aebf6849f,technosphere
primary zinc production from concentrate,primary zinc production from concentrate,ad6cbd4e698eb4e1efacad72dddaa72c,technosphere
"carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m","carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m",dc6b8a27630d496b93a13665944fba46,technosphere
"market for diesel, burned in diesel-electric generating set, 10MW","market for diesel, burned in diesel-electric generating set, 10MW",75ed810684944eeb9729afe019b3bd37,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",141d4c3b62a7fa8af349cd09c3bb2b38,technosphere
"carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m","carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m",2cc88ddf88374b70a39f12c95e3d5f24,technosphere
"market for diesel, burned in diesel-electric generating set, 10MW","market for diesel, burned in diesel-electric generating set, 10MW",a35e8a2e3bc941c896f1b83166e7a542,technosphere
market for lignite,lignite mine operation,2080a855534daa80b17cca429b82d7b5,technosphere
"carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m","carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m",37283a7351d04dc881cce2101e22a8b5,technosphere
"carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m","carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m",e9e45ca01b7c47efa15d98ee24c4b355,technosphere
"market for flat glass, coated","market for flat glass, coated",d71d611cdeb632f46d1960a7a869d56f,technosphere
"treatment of wood ash mixture, pure, landfarming","treatment of wood ash mixture, pure, landfarming",edd1f58ed82a06bd8d9ae951b91aba56,technosphere
"carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m","carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m",14782ad8012045a1bf9b9a2eb8c283f5,technosphere
"treatment of aluminium scrap, post-consumer, prepared for recycling, at refiner","treatment of aluminium scrap, post-consumer, prepared for recycling, at refiner",357005b41b2bbf73afe676b9ab4e8797,technosphere
primary zinc production from concentrate,primary zinc production from concentrate,7a20ed0a044d678c9c0fdefee9d1b71a,technosphere
"carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m","carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m",f43d86df1cd5435aa26d7ec561def442,technosphere
"market for biomass, used as fuel","market for biomass, used as fuel",e89f31dfba444701b6ac3d9d69310dea,technosphere
"carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m","carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m",400215df62f54daa8045248c88a2ac1e,technosphere
"heat production, natural gas, at industrial furnace >100kW","heat production, natural gas, at industrial furnace >100kW",1a78ca13d4b59418ca8791efa9a0db09,technosphere
"market for cement, Portland","market for cement, Portland",49a2915ec2a94c779e1bbcaec799711c,technosphere
"market for cement, Portland","market for cement, Portland",fa334e88c19a45fc9bafe1356c8e629a,technosphere
market for fly ash and scrubber sludge,market for fly ash and scrubber sludge,330a01abe4f17de4a71e634f6c40c08a,technosphere
"market for steel, low-alloyed","market for steel, low-alloyed",5179398e073a4aa18195597db518f5fc,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",9f1483a61114803c735b6c2be4fbb000,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",fd40e83c0b505bddaace743b95328185,technosphere
"market for wind turbine network connection, 4.5MW, onshore","market for wind turbine network connection, 4.5MW, onshore",806eaec254f5e1cc782084823f43acc9,technosphere
"market for hydrogen, liquid","market for hydrogen, liquid",9fed50977b761e7d6e212c93f8d4ab40,technosphere
"market for carbon dioxide, liquid","market for carbon dioxide, liquid",bf0486a1f43ea7822e92cf97ff5c2fd7,technosphere
market for acetylene,market for acetylene,caa782d5ffc74dfd557aa1e7d96b27fe,technosphere
"steel production, converter, low-alloyed","steel production, converter, low-alloyed",90cb91637aaf4e8e8cc431496bf8278a,technosphere
"treatment of hard coal ash, residual material landfill","treatment of hard coal ash, residual material landfill",0731d29a8de37a465bd19f9ccab30031,technosphere
market for tap water,market for tap water,16575a65193ed859a5588bb93a34a69c,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",2398813ce21477f0825d69c42a969c76,technosphere
"carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m","carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m",f5ee55996c0540beac0fef208772be90,technosphere
"nuclear power plant construction, pressure water reactor, 1000MW","nuclear power plant construction, pressure water reactor, 1000MW",2bcf440702bf165a285690f10f34bff9,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",414fcfa09d9be35b76239d9a5f30e74a,technosphere
"market for diesel, burned in diesel-electric generating set, 10MW","market for diesel, burned in diesel-electric generating set, 10MW",bec2ae58c03d4adeb79f5807bf7d7902,technosphere
"market for biomass, used as fuel","market for biomass, used as fuel",2308fa2b44ed4d97a1d81550679f075b,technosphere
"market for hydrochloric acid, without water, in 30% solution state","market for hydrochloric acid, without water, in 30% solution state",eb98d932d77cdb68c958200e11eedc76,technosphere
"steel production, converter, low-alloyed","steel production, converter, low-alloyed",1f2a6404c68a2f6840c75d55a8e04c83,technosphere
"market for hydrogen, liquid","market for hydrogen, liquid",a834063e527dafabe7d179a804a13f39,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",a7c930289f04818344fba71bd7cbd2bc,technosphere
"carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m","carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m",f5ff144836c74856b1c432f9cb52a4c6,technosphere
"market for transport, freight train","market for transport, freight train",b2b001825f8db68a0d36f0f9563842ed,technosphere
market for tap water,market for tap water,56c875b407502ee835ab986da2fd5094,technosphere
"market for biomass, used as fuel","market for biomass, used as fuel",a8ff215194f647e3b3975dee765e7c3e,technosphere
"treatment of waste emulsion paint, municipal incineration","treatment of waste emulsion paint, municipal incineration",fc88cf17835029fdb1bfbfe6cbb07465,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",c016dfde73a2456e267d467682a1eae9,technosphere
"market for diesel, burned in diesel-electric generating set, 10MW","market for diesel, burned in diesel-electric generating set, 10MW",e7a919e9d7574fa599607e029df72ce8,technosphere
"carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m","carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m",9561a9201ed549b081383d6f74a0b222,technosphere
"heat production, heavy fuel oil, at industrial furnace 1MW","heat production, heavy fuel oil, at industrial furnace 1MW",7cdd4fb38b757b790264ab321df84e0f,technosphere
"carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m","carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m",5dab2fea0c7c4e7e903c226cd80fb535,technosphere
